Date : 2026-04-11 19:00:52
Directory : d:\Projects\C\cleonos
Total : 97 files,  7635 codes, 8 comments, 1894 blanks, all 9537 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| C           |         36 |      5,303 |          6 |      1,449 |      6,758 |
| CMake       |          5 |        720 |          0 |        111 |        831 |
| Markdown    |         18 |        660 |          0 |        102 |        762 |
| C++         |         32 |        640 |          0 |        168 |        808 |
| Go Assembly |          1 |        108 |          0 |         12 |        120 |
| Makefile    |          1 |        100 |          0 |         22 |        122 |
| PowerShell  |          1 |         64 |          2 |         18 |         84 |
| Rust        |          1 |         23 |          0 |          9 |         32 |
| Batch       |          1 |         11 |          0 |          2 |         13 |
| Properties  |          1 |          6 |          0 |          1 |          7 |
+-------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                             |         97 |      7,635 |          8 |      1,894 |      9,537 |
| . (Files)                                                     |          2 |        635 |          0 |         97 |        732 |
| cleonos                                                       |         12 |        620 |          4 |        194 |        818 |
| cleonos\c                                                     |         11 |        597 |          4 |        185 |        786 |
| cleonos\c (Files)                                             |          1 |          3 |          4 |          2 |          9 |
| cleonos\c\apps                                                |          6 |        428 |          0 |        139 |        567 |
| cleonos\c\include                                             |          2 |         66 |          0 |          9 |         75 |
| cleonos\c\src                                                 |          2 |        100 |          0 |         35 |        135 |
| cleonos\rust                                                  |          1 |         23 |          0 |          9 |         32 |
| cleonos\rust\src                                              |          1 |         23 |          0 |          9 |         32 |
| clks                                                          |         58 |      5,454 |          2 |      1,444 |      6,900 |
| clks\arch                                                     |          3 |        120 |          0 |         14 |        134 |
| clks\arch\aarch64                                             |          1 |          6 |          0 |          1 |          7 |
| clks\arch\x86_64                                              |          2 |        114 |          0 |         13 |        127 |
| clks\drivers                                                  |          6 |        459 |          0 |        108 |        567 |
| clks\drivers\serial                                           |          1 |         52 |          0 |         16 |         68 |
