"filename", "language", "CMake", "Markdown", "C", "C++", "Go Assembly", "comment", "blank", "total"
"d:\Projects\C\cleonos\CMakeLists.txt", "CMake", 27, 0, 0, 0, 0, 0, 2, 29
"d:\Projects\C\cleonos\cleonos\c\apps\bg_main.c", "C", 0, 0, 101, 0, 0, 0, 26, 127
"d:\Projects\C\cleonos\cleonos\c\apps\fg_main.c", "C", 0, 0, 150, 0, 0, 0, 36, 186
"d:\Projects\C\cleonos\cleonos\c\apps\help_main.c", "C", 0, 0, 4, 0, 0, 0, 0, 4
"d:\Projects\C\cleonos\cleonos\c\apps\jobs_main.c", "C", 0, 0, 120, 0, 0, 0, 26, 146
"d:\Projects\C\cleonos\cleonos\c\apps\kdbg_main.c", "C", 0, 0, 214, 0, 0, 0, 56, 270
"d:\Projects\C\cleonos\cleonos\c\apps\kill_main.c", "C", 0, 0, 144, 0, 0, 0, 39, 183
"d:\Projects\C\cleonos\cleonos\c\apps\ps_main.c", "C", 0, 0, 160, 0, 0, 0, 35, 195
"d:\Projects\C\cleonos\cleonos\c\apps\shell\shell_cmd.c", "C", 0, 0, 3, 0, 0, 0, 0, 3
"d:\Projects\C\cleonos\cleonos\c\apps\spin_main.c", "C", 0, 0, 13, 0, 0, 0, 4, 17
"d:\Projects\C\cleonos\cleonos\c\apps\top_main.c", "C", 0, 0, 195, 0, 0, 0, 47, 242
"d:\Projects\C\cleonos\cleonos\c\include\cleonos_syscall.h", "C++", 0, 0, 0, 40, 0, 0, 3, 43
"d:\Projects\C\cleonos\cleonos\c\src\syscall.c", "C", 0, 0, 32, 0, 0, 0, 10, 42
"d:\Projects\C\cleonos\clks\arch\x86_64\exec_stack_call.S", "Go Assembly", 0, 0, 0, 0, 18, 0, 0, 18
"d:\Projects\C\cleonos\clks\include\clks\exec.h", "C++", 0, 0, 0, 32, 0, 0, 4, 36
"d:\Projects\C\cleonos\clks\include\clks\panic.h", "C++", 0, 0, 0, 5, 0, 0, 1, 6
"d:\Projects\C\cleonos\clks\include\clks\syscall.h", "C++", 0, 0, 0, 7, 0, 0, 0, 7
"d:\Projects\C\cleonos\clks\kernel\exec.c", "C", 0, 0, 349, 0, 0, 1, 98, 448
"d:\Projects\C\cleonos\clks\kernel\interrupts.c", "C", 0, 0, 6, 0, 0, 0, 0, 6
"d:\Projects\C\cleonos\clks\kernel\keyboard.c", "C", 0, 0, 40, 0, 0, 0, 9, 49
"d:\Projects\C\cleonos\clks\kernel\log.c", "C", 0, 0, 62, 0, 0, 0, 15, 77
"d:\Projects\C\cleonos\clks\kernel\panic.c", "C", 0, 0, 367, 0, 0, 0, 95, 462
"d:\Projects\C\cleonos\clks\kernel\syscall.c", "C", 0, 0, 756, 0, 0, 0, 204, 960
"d:\Projects\C\cleonos\cmake\check_tools.cmake", "CMake", 2, 0, 0, 0, 0, 0, 1, 3
"d:\Projects\C\cleonos\cmake\gen_kernel_symbols.cmake", "CMake", 80, 0, 0, 0, 0, 0, 26, 106
"d:\Projects\C\cleonos\cmake\setup_limine.cmake", "CMake", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\C\cleonos\docs\syscall.md", "Markdown", 0, 52, 0, 0, 0, 0, 14, 66
"Total", "-", 109, 52, 2716, 84, 18, 1, 752, 3732
