Date : 2026-04-17 19:36:06
Directory : d:\Projects\C\cleonos
Total : 192 files,  25119 codes, 12 comments, 6368 blanks, all 31499 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| C                |        100 |     19,580 |          8 |      5,188 |     24,776 |
| Markdown         |         30 |      1,625 |          0 |        414 |      2,039 |
| Python           |          8 |      1,418 |          2 |        262 |      1,682 |
| C++              |         38 |      1,093 |          0 |        239 |      1,332 |
| CMake            |          6 |        881 |          0 |        152 |      1,033 |
| PowerShell       |          1 |        171 |          2 |         42 |        215 |
| Go Assembly      |          2 |        148 |          0 |         20 |        168 |
| Makefile         |          1 |        100 |          0 |         22 |        122 |
| YAML             |          1 |         48 |          0 |         10 |         58 |
| Rust             |          2 |         44 |          0 |         15 |         59 |
| Properties       |          1 |          6 |          0 |          1 |          7 |
| Batch            |          1 |          4 |          0 |          2 |          6 |
| pip requirements |          1 |          1 |          0 |          1 |          2 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                             |        192 |     25,119 |         12 |      6,368 |     31,499 |
| . (Files)                                                     |          4 |        898 |          0 |        178 |      1,076 |
| .github                                                       |          1 |         48 |          0 |         10 |         58 |
| .github\workflows                                             |          1 |         48 |          0 |         10 |         58 |
| cleonos                                                       |         73 |      9,873 |          5 |      2,585 |     12,463 |
| cleonos\c                                                     |         72 |      9,850 |          5 |      2,576 |     12,431 |
| cleonos\c (Files)                                             |          1 |          3 |          4 |          2 |          9 |
| cleonos\c\apps                                                |         67 |      9,413 |          1 |      2,475 |     11,889 |
| cleonos\c\apps (Files)                                        |         60 |      5,856 |          1 |      1,546 |      7,403 |
| cleonos\c\apps\shell                                          |          7 |      3,557 |          0 |        929 |      4,486 |
| cleonos\c\include                                             |          2 |        174 |          0 |         13 |        187 |
| cleonos\c\src                                                 |          2 |        260 |          0 |         86 |        346 |
| cleonos\rust                                                  |          1 |         23 |          0 |          9 |         32 |
| cleonos\rust\src                                              |          1 |         23 |          0 |          9 |         32 |
| clks                                                          |         69 |     10,992 |          3 |      2,877 |     13,872 |
| clks\arch                                                     |          4 |        160 |          0 |         22 |        182 |
| clks\arch\aarch64                                             |          1 |          6 |          0 |          1 |          7 |
| clks\arch\x86_64                                              |          3 |        154 |          0 |         21 |        175 |
| clks\drivers                                                  |          7 |        721 |          0 |        183 |        904 |
| clks\drivers\audio                                            |          1 |        101 |          0 |         25 |        126 |
| clks\drivers\serial                                           |          1 |         52 |          0 |         16 |         68 |
| clks\drivers\video                                            |          5 |        568 |          0 |        142 |        710 |
| clks\include                                                  |         32 |        727 |          0 |        179 |        906 |
| clks\include\clks                                             |         32 |        727 |          0 |        179 |        906 |
| clks\kernel                                                   |         23 |      9,284 |          3 |      2,464 |     11,751 |
| clks\lib                                                      |          2 |         79 |          0 |         23 |        102 |
| clks\rust                                                     |          1 |         21 |          0 |          6 |         27 |
| clks\rust\src                                                 |          1 |         21 |          0 |          6 |         27 |
| cmake                                                         |          5 |        267 |          0 |         64 |        331 |
| configs                                                       |          1 |          6 |          0 |          1 |          7 |
| docs                                                          |         27 |      1,392 |          0 |        327 |      1,719 |
| ramdisk                                                       |          1 |          4 |          0 |          2 |          6 |
